# Constructed from biom file
#OTU ID	ERR2585962	ERR2585963	ERR2585964	ERR2585965	ERR2585966	ERR2585967	ERR2585968	ERR2585969	ERR2585970	ERR2585971	ERR2585972	ERR2585973	ERR2585974	ERR2585975	ERR2585976	ERR2585977	ERR2585978	ERR2585979	ERR2585980	ERR2585981	ERR2585982	ERR2585983	ERR2585984	ERR2585985	ERR2585986	ERR2585987	ERR2585988	ERR2585989
P381-PWY	2787.755907824759	3.5739795671170276	1623.0293040210204	5371.221524717464	507.71629919825347	3142.88848554449	36.995296705159134	188.86912843803174	658.2296327821571	7787.0415086124685	513.2525275546591	3620.0306281373573	968.8611284044046	114.5230082702524	2796.385002889102	95.5144589102319	3106.754507794144	3570.269703846718	1484.3137697968223	672.5217662599224	224.07842265438418	246.88918979617642	250.09697831798044	0.0	205.87265289072639	60.05081661172958	13.778268002764202	2016.490300257884
P4-PWY	35340.43126951618	31043.463900006558	29726.521402846072	36507.963850280066	34214.84614668962	36759.016228469125	34810.76596733618	35274.4472206982	37405.888167871584	53318.4859256511	30675.17079131474	35357.4990847295	32784.93775011213	3773.2252610354944	34783.94144597471	36630.05247480417	31208.145078450954	45051.53991247839	31900.034484849937	28361.937927259572	20481.613522653108	30730.009664973895	19169.7207138575	24783.85147032062	38590.803281705914	29398.0304932902	30266.490183830876	37143.95564543473
P42-PWY	49280.94386663767	44927.31038873359	23926.339164465982	46722.31530963909	24879.609538360713	41148.36392580451	27369.032112734236	41034.693724286095	42545.884608624685	28582.62573392383	37930.588242073	43323.51977315754	51239.44371346004	1573.971592276562	49940.79741208471	52980.717908972496	38426.70090026098	37213.181342778465	43167.654190622015	21966.932233373343	15112.71302270402	73292.87563589908	33070.92521548049	46077.33527087138	56293.22799828681	38629.462538751395	26802.45233197033	46717.774422277726
P441-PWY	30969.468381868843	25680.207019495017	25681.130324076377	32864.92238071785	43491.73124700396	31635.02564737857	29499.70571703062	28356.161806062613	29954.923049336572	37325.0262480642	25411.238055387963	33277.434807572325	34806.417005384326	2647.741777830434	32421.676645490363	28396.62782084439	26483.32576948707	38194.71935440837	27425.266399966004	22212.74027120553	16684.226842369986	31941.149199289815	16842.716613832476	26297.841284192316	27700.65595440136	31235.946784838954	19966.0192981502	32899.84667385633
P461-PWY	7964.928341693426	11924.736494284118	16558.15164371604	19371.27653599908	41884.194560350305	11415.23326171423	11976.25973209631	14451.547298024514	19851.95171615325	15249.370209400493	10566.9043132548	9825.373170936153	12962.417528719097	1385.8537064898212	9674.96384597701	19315.05179940053	12711.623160148187	8246.02892928976	11115.63952482095	5588.318709550464	7937.004059778479	10914.10147670312	7253.195771889873	10485.07086829749	9607.744034758764	15951.123549335853	8904.749494047832	9360.738263799967
P562-PWY	3763.9374517581164	5400.182801068487	5760.993011962352	7048.755280061621	169.36627003258954	4883.540751665606	4624.652123349736	4934.7447405258745	4662.58032943335	8674.807148130725	2600.352587134811	5754.859854994037	4040.6320575342793	503.0469438135028	3803.656508271677	3799.9164339926465	6560.4866377625385	6757.8900303834	3125.6871876140335	3704.168090666909	2490.3529950309776	4412.26602029192	3112.389179075716	2704.3763316271074	3540.17457794609	6964.79568824669	2941.497516121699	3933.2331723034054
P621-PWY	0.00898699719601846	0.00043261583285623544	0.0018580857472810049	0.00202195016201323	0.0	0.0009505434744085711	0.00559773691515443	0.017625362618350314	0.0013551237079982865	0.0026827462929864465	0.0036870456936774487	0.0008721589573426356	0.003026872918049977	0.0002803714965010378	0.0009146594343236107	0.000620790934389922	0.024484690574965745	0.00018855958169590684	0.00034364503314380455	0.0007649437877463183	0.0003107581959230487	0.0031911132632364368	0.0002659612122614391	0.005774584053395521	0.0006079050140418197	0.0007650897478481722	0.0007913339086218924	0.0016469219565779336
PANTO-PWY	33722.51010494464	30325.273675912103	21624.721346414353	37420.28600197701	37598.55117988955	35710.33024282588	25953.529963774523	32505.77986751529	38552.631672250965	27979.12024881821	27809.33561976231	29480.355749837294	38393.92730570615	2117.787929836349	36910.267233204	42237.048193479626	28310.940664177324	31581.36299726203	29517.932472942564	21198.056643631047	14181.643251388135	46461.92701481083	27130.9006074816	31785.020122933995	39443.76448888769	32416.278684440764	27016.117773229023	34087.303714471
PANTOSYN-PWY	36064.572755127134	32730.10706193992	25049.75051463366	40361.14309384714	37198.45978742273	39267.616069659955	30351.088874761455	36426.16086377143	40981.643504837426	35893.86798821263	30456.416024790873	33920.18629717283	39329.63590306716	2645.958882446295	40671.58133546272	45892.80036441184	30876.797019185604	36911.39702160043	32007.61721992839	25104.962264389836	16478.002306747465	47438.558094401385	28948.620096597326	33440.08666964437	43051.11593167261	35621.41934399301	30463.655561136173	38324.6076037725
PENTOSE-P-PWY	26699.139180836784	23373.052576062135	15246.696037295382	19850.06248153212	29388.434620359934	15387.157009838798	12628.295611435406	21688.439304622494	27871.72597736728	17333.322039652834	23160.89321750866	25374.706468890858	27050.950958591948	2009.2964683665386	20711.638652854028	30830.151240685213	18250.695467250876	29274.36187016077	24875.616381202384	8112.295491647726	8587.20686497564	39782.57850799588	10491.868983451646	22510.405638716074	26343.5346417657	24080.26799898003	9707.385206823106	24273.049362894522
PEPTIDOGLYCANSYN-PWY	53088.07161360664	47547.000312383854	39563.85303364559	55484.27777828455	39794.47690023194	56537.45086944361	57812.303013157005	58004.71937946671	59600.61997236307	72844.95435892257	45294.76406168471	52337.476595866756	53268.55716275327	6027.576992113769	56235.14928106657	65693.29943187862	41851.5001919876	57518.74650250933	47666.93814736773	43000.21141459132	30849.85170193177	59526.85371118308	37303.085803976275	46245.74483011129	63228.79135440556	53315.715105103285	46014.7985560433	56946.15841513012
PHOSLIPSYN-PWY	55284.97514186777	48225.7802951658	43577.27183114478	57621.57077129579	44791.273058113016	56767.49147382614	60976.585294324635	62294.23771042125	60779.67142816304	83860.10842737179	51019.718020972294	56074.72001852983	54932.346282625345	6741.583811137027	55876.109492066236	66395.4771571528	44597.630993938554	62486.27499358309	50499.894492212115	46194.10982250186	33727.24411756385	57949.548755505	37711.80895277208	46280.19164354207	63610.752555424115	56515.505027392275	49248.37753462644	58804.0485982847
POLYAMINSYN3-PWY	5677.513225447796	5749.587382260628	8622.437831085957	5731.097243948237	746.0856347404906	9763.413162887686	14171.151936616918	8297.034221728809	17731.63941214287	9006.739248773914	7832.438701761157	8208.678473285057	12406.096278024053	322.4254600866285	6591.89413584695	14991.202040551316	6888.092707419989	9106.998737651656	5655.0915432724705	10610.44538608373	4127.610252936845	8374.924235380782	1611.469562589879	4605.045758048001	4195.907299643691	2407.244224673633	5022.640521323032	8342.116964036799
POLYAMSYN-PWY	8672.230735168388	10883.140087723828	12385.561705728485	11221.525179221904	21681.78397773493	9598.629524135042	14656.30577780684	16268.589964282524	18499.815631983904	9011.509703588623	8087.711974178306	8433.052225918755	12910.146289554936	941.5911721595854	7270.444947989145	19842.669508736424	8004.593745442869	9112.762690393702	7058.894519760535	12134.023481046646	7094.439184157992	8494.97774101304	5207.881461265833	8389.467881434764	7500.146858589873	2312.011352767149	7894.5436038108855	9410.286241222866
POLYISOPRENSYN-PWY	30321.183842008642	30937.99778042322	18842.748905740413	35112.91054346187	40296.233694264534	35264.123205690805	31175.23043459388	32764.110321699904	25038.78059678211	27696.110036815033	24108.639765960466	29003.957733296113	33402.89235565511	2363.740036039672	38308.50668052267	32628.46503998907	26456.00613602899	26999.36866455225	27840.58869753983	19067.525629674208	12945.798591237668	43936.19934945948	25557.136131754603	31541.381743715192	40334.215680137204	24506.814640411376	23333.201923751512	34259.06742205378
