# Constructed from biom file
#OTU ID	SRR9198470	SRR9198471	SRR9198472	SRR9198473	SRR9198474	SRR9198475	SRR9198476	SRR9198477	SRR9198478	SRR9198480	SRR9198483	SRR9198499	SRR9198500	SRR9198501	SRR9198502	SRR9198503	SRR9198504	SRR9198505	SRR9198506	SRR9198507	SRR9198508
GLCMANNANAUT-PWY	5980.2823368121035	506.5650684615919	975.4963624660518	23.016034588523627	1600.6914692944663	15660.502407363127	45.60145202894393	2257.5488439870437	20.091840663112524	800.3796094989399	6.666608034480866	0.0	53.90177094945767	137.86996780313635	0.0	37.78507026493817	364.2788968403483	223.01693377096115	2401.0919298258987	44.02391038322101	0.0
GLUCARDEG-PWY	0.10787984149134157	9.432477245766036	0.0	0.679573990753504	1.6271183803506075	36.207071662101704	69.4853341373828	1.3232144948614568	0.5758371257694368	98.64161662910628	4.572184578887096	0.0	0.023515633513056824	48.48807323771199	0.0	31.231465456158112	0.046389210228672186	36.29801471543772	2018.260463982133	0.17789593089003256	0.0
GLUCARGALACTSUPER-PWY	0.0309023465865204	5.386345527446175	0.0	0.0	1.4998698811817828	36.210677855558714	65.51652328196813	1.3232136008111262	0.0	104.42636333115782	4.572184578887096	0.0	0.02350329216942918	36.71322872437216	0.0	30.300953104951386	0.04637937735723072	33.76517176046571	2014.0182296556443	0.17789593089003256	0.0
GLUCONEO-PWY	1541.8765722234302	3469.872976101049	127.18086642456215	93.2246001054847	20814.17883719938	10820.38585800684	26039.171424095002	56.51459472190611	120.14708413753293	17584.213216363398	29.716056272208675	48.89510656867632	361.73960435439096	942.572529720294	40605.1296494911	254.4336635802498	3730.68488919119	2200.5007745233947	8259.532752864485	23011.535240545854	47.365826320165326
GLUCOSE1PMETAB-PWY	0.6101156455575533	12.6736827392177	12.146726778106366	170.74417932924666	25.233788590356127	191.1116280165904	46.98977150131832	3.277616617527038	20.493874004478776	1264.3524700956823	8.013412908321014	22.70803291864172	11.832282737432857	104.78895215962442	0.0	84.35195950450564	7.47099361621854	54.99402006871518	3269.98422088288	798.0028076191772	0.0
GLUCUROCAT-PWY	6.467842398816176	183.11386052836758	959.9524515465436	67.27987656279304	1045.3403197443772	18373.42244646374	223.50111106437018	0.0	36.78732528392022	774.8130904161925	4.965910746576698	0.0	1.5467213289875916	115.361781880495	0.0	20.972951544191435	96.65717496757499	105.41567499363418	2003.2348201322734	0.030124492262432485	0.0
GLUTORN-PWY	210.84463427194714	958.2047433649958	6.076552096287719	210.66898800885338	3123.6396609141448	613.4954983555479	13225.220028236776	5.931118414161528	24.54004741807869	14034.759612883416	7.9390586151781255	27.81311237751359	49.12066245176426	72.26958904810024	0.0	56.79674031007672	596.5339341862978	107.90395812807154	4584.475769058745	3036.661181984011	3.0000000000000004
GLYCOCAT-PWY	149.78105855954578	1675.6500853381585	2838.9448441955597	165.7388301963818	14925.160851700415	16921.756717735218	1800.72044888362	3.435328887427846	71.86119508784198	9572.440136214398	9.321267366043612	18.79497396686079	376.4761168726662	489.97288286491215	0.0	167.7404928560318	1853.7718909616483	621.8231519970253	4611.287143880732	854.0622152655692	22.42344605731039
GLYCOGENSYNTH-PWY	70.90969331087152	1100.6438913433283	12882.426315769027	233.26857411701866	6016.478354327993	20443.44402373212	29624.68102930162	3.2137777387913937	102.17178658040805	11956.87074504708	6.538258405998554	19.76135493837144	19363.43897129031	28633.537864482172	446.1686665413508	3032.4829060555003	1576.8270513923053	47084.447995387345	3877.155169433891	777.363667669475	1617.487986318679
GLYCOL-GLYOXDEG-PWY	0.0	7.926392785418617	0.0	0.0	53.72742862450479	68.79532337049424	0.0	0.0	0.0	16.940702707434728	4.572470672016348	0.0	8.51209859892533	39.8310408299168	0.0	9.111872547976233	94.18894777629336	35.67470509897557	1881.1868984282014	0.0	0.0
GLYCOLYSIS	20489.67115505768	6571.703806983451	5013.848455626771	302.396129775854	30626.398129673642	26377.215473975415	25534.525505364887	7678.22248388137	347.1346806787513	17856.746428119644	138.94362931611184	48.10803851579734	1307.9437321906837	1517.6070202394253	43362.34218442053	510.38072881546617	10751.003784018823	2425.0485287583892	10657.826372417352	37366.49833008749	77.21497362746268
GLYCOLYSIS-E-D	2933.918558540785	1395.4695346301053	0.0	73.78895895599356	7747.46500962899	5445.194943606187	3109.070995747105	185.8288565798058	67.58348226974078	8763.181484285298	32.960904608815426	43.56534402724344	161.48847236924303	653.2395917459647	0.0	204.6835743800698	2004.005792630334	329.713612275073	6865.910901218001	3502.820985683743	0.0
GLYCOLYSIS-TCA-GLYOX-BYPASS	108.73322938075349	661.059618700562	0.0	161.6982629786707	1724.1289373919633	1063.2424810862835	591.4812556214039	7.946868287084534	27.966739327344552	12282.448236575994	13.572928926454425	32.532017026027795	55.463498232796866	124.86229208079924	0.0	111.35662088889299	2605.079147228354	268.15613047191533	6982.683889278484	61.781017335733075	0.0
GLYOXYLATE-BYPASS	37.608373610382934	238.52346799689107	0.0	114.3614829709962	664.9418574286311	335.73486002978433	166.4103485105195	2.074198371920044	12.469845116446745	7185.207649061848	7.496711205173897	18.61978476579809	17.76005114545332	55.40244266783016	0.0	46.8091356170796	1153.8184436238193	108.31865962850664	4664.0734010341575	13.788941824350065	3.0
