# Constructed from biom file
#OTU ID	SRR13994159	SRR13994160	SRR13994161	SRR13994162	SRR13994163	SRR13994164	SRR13994165	SRR13994166	SRR13994167	SRR13994168	SRR13994169	SRR13994170	SRR13994171	SRR13994172	SRR13994173	SRR13994174	SRR13994175	SRR13994176	SRR13994177	SRR13994178	SRR13994179	SRR13994180	SRR13994181	SRR13994182	SRR13994183	SRR13994184	SRR13994185	SRR13994186	SRR13994187	SRR13994188	SRR13994189	SRR13994190	SRR13994191	SRR13994192	SRR13994193	SRR13994194	SRR13994195	SRR13994196	SRR13994197	SRR13994198	SRR13994199	SRR13994200	SRR13994201	SRR13994202	SRR13994203	SRR13994204	SRR13994205	SRR13994206	SRR13994207	SRR13994208	SRR13994209	SRR13994210	SRR13994211
NADSYN-PWY	736.6329697829735	545.7149462392839	34.36270601857674	121.7745693934458	1091.8387990924962	1071.7786295190265	28.983300811298868	852.2948880685078	5.560915781678006	579.0738985167961	1124.7627806575326	211.0901071780843	1000.6845761365503	333.49373637441806	1188.6049400141083	199.99671601588852	243.22966463379163	173.70429018775744	36.5988965259558	49.36143189281016	478.9208162525665	463.7252990931163	141.81292557930033	1269.4971735314489	309.3552492915016	2160.915585753355	294.58210287224796	976.900826937411	129.2345197315663	176.68973297273845	404.3667776389179	370.4939473580351	1084.8499846573638	686.7880348836597	245.11739868616937	231.9337365871384	88.27196812539519	1261.027041650444	1373.7299694390788	133.81516724182737	10.794560517760376	404.924704700015	409.8028267094954	15.36890015072748	627.3146385824139	130.72747044571585	548.2915229162828	98.51028650709932	950.0115841001136	338.2806333604174	139.55204423563183	102.24990572290544	37.855052326001726
NAGLIPASYN-PWY	551.201189991402	1384.0194255110907	3096.9597841253376	7454.179647856713	1812.6693742905845	4791.587252187327	433.48281512783467	4148.514360330232	4913.697435742235	3241.7650357367247	1527.8045044359153	4742.827486652282	863.2612393753527	5466.99197420881	133.8201221273813	6576.016312027551	6965.0141652876555	3730.489390815865	3208.118927272064	5569.316179086735	984.4925505092243	14161.386471508658	4099.229884976963	2824.0255917116315	8059.14451628743	7410.286333319151	2310.305080439826	3548.1537650750934	1221.3373038641191	7784.950792590231	3977.025384979307	8044.798115904429	4323.959173022321	5190.621587632007	7314.921892134185	1902.1543581225544	6687.738102671116	1474.6235843946665	1693.6193560132858	2672.503251289418	1444.5870085727463	642.4229735707347	4618.970006045925	3331.9251533359043	412.5475698675484	1849.0508157117924	2577.9439263798185	255.3001568693223	4251.777019858184	5483.95311494491	5710.279685108803	7883.210429197847	130.12579693502772
NONMEVIPP-PWY	22696.95836093133	22921.880760754324	19140.90297647027	26620.32616626096	20695.66198840117	19854.71016951319	34867.73115666905	21570.220852490995	9441.054090054025	25361.615929001997	25150.369996482805	19653.5361330759	24965.323944887958	17104.45812750951	14655.732203547223	17079.46635153002	32559.798249400286	26505.11834558317	18801.890850255317	21851.38756701411	28796.071809171644	33944.43705417294	20628.76810738968	35765.10100365449	29348.902797848492	28114.856119791493	16860.83911353506	24561.907757408415	21500.56246899637	21598.102341465943	26138.354089759436	42323.382573770774	31276.18100996486	20465.9518030781	15647.55804886113	17801.46328855367	21120.52078741859	22313.37473653927	21410.059848057685	17996.72564288254	21809.986963837255	26774.521248248944	11253.11432648985	26857.526638361378	12049.33055203506	22628.397596951487	27351.55464591318	19033.97891383227	17638.250999825486	17074.708485097577	16457.856265190116	18554.002958710087	23138.970124481348
NONOXIPENT-PWY	43648.41025641898	40324.876820167854	28516.129223459302	46548.90945637968	44267.66526468034	33287.03020822024	52932.2304284207	38877.00747242272	21512.821160971336	43367.91525800713	45657.26055440041	34512.20382253652	42161.11892167728	29018.877051014373	28012.22250159187	32829.70475927783	47657.47714039616	41941.39694897701	38952.17747405897	44494.61208619996	48595.013448139245	52925.308465765855	36121.55727836642	66908.58596521404	47308.151655914095	48071.46234271982	32644.792950341704	44517.04409981093	37744.38753912583	34440.41319670123	46589.248860939355	65366.22211012504	52780.112582773174	35522.37151960468	27983.946336752597	32740.797587539488	38154.57283453126	36896.493061266076	35443.71734464209	31837.02015157355	39221.29162166665	42749.81455450522	20469.221124776108	40796.452085089826	24171.919109569957	36739.61598317221	45608.2106566018	31074.15757463506	31799.784300972846	29050.243821765052	26433.41958622151	33742.95040365389	39996.75084839975
OANTIGEN-PWY	17430.573519568203	17141.80497578294	12410.363298347444	20994.708515220886	14547.959645678035	15964.363804464181	25438.870455538246	16027.918336776987	10241.066368173622	19341.141222387214	20526.953700930735	15724.430111420852	18347.647228789516	14264.21828311504	10862.415218739834	15707.726292035166	26265.335093967766	21648.32793157244	19604.06445809124	14285.470116783612	22459.21952761097	25095.917917712217	17347.723238028113	31924.748988166077	22940.648415747004	22133.49317168982	14237.796576688303	19433.890568544688	16593.792701945546	14212.315416484358	21613.498682018537	31992.00259379688	24945.226670472588	16480.287400255434	14427.070611153023	17086.47508376841	17883.03195596921	18520.516740118797	16112.049264533123	14878.687829594879	13562.716591325148	21381.779430399492	9859.227689871801	20764.184949931085	11023.305374466468	18966.688684320372	21874.328730471916	15446.70817054676	14926.231387484724	13422.699801887216	12090.957634152466	17470.42240169949	18613.587241998797
ORNARGDEG-PWY	18.307295842725754	42.94676804876726	158.73719704432236	3385.9829491883584	37.77978949383292	381.30950949207397	240.6751318622178	3986.8394269725645	6204.426597185836	1291.4654266409782	51.325254008268395	3147.116933351473	29.213233102889838	4264.052735542907	39.29940207222946	3383.5071754655937	620.4333236037071	13.837945685083893	2163.8358707934985	76.06621107835363	63.97799312942906	4904.151833015137	2373.4945343199324	452.3905221016318	2775.658204796401	746.9115748532904	1052.593503689075	63.2524502144633	87.32164112116864	846.6227695237638	39.0680370052012	37.2949953153861	1387.5389434661795	104.95491791380971	9333.744964515456	2515.7161125031075	6341.839116739605	193.4907414686913	64.39417034535977	1273.9838701609387	45.21280397508583	274.73684386233225	5086.53791032597	28.854088580533084	49.79832418279062	59.03778292156721	762.0609628179391	45.878453133085515	4334.971182266814	116.28395616212627	541.4246733897475	9416.707397599557	117.67093820983904
ORNDEG-PWY	57.35322660267647	60.68959961989247	157.50528989182388	2952.2066409118192	40.78212861350156	362.41074599436564	193.87057109796737	4729.5575295563085	6192.853212704246	1168.9509459561796	92.52901673047937	2981.8402525282854	51.202109293716134	3767.4682348694523	35.9480992382084	3200.9212379009427	609.5489487274625	17.282061937317366	2135.9995529861776	63.14355827306556	78.22472880845672	4653.136895675432	1928.262328485921	390.07554971748095	2158.6189592230926	664.8859308103213	849.9319416807696	55.754150803326	83.11079425297606	710.187989912624	41.85234305324488	48.39243146166677	1167.5331578323146	110.52294720951002	9213.278395866575	2839.817521091266	5061.671935266441	313.5485680407216	101.38522719445493	1295.628811810781	40.246908927826865	254.17270809299876	5108.157278495847	35.36275943033369	51.23746952182889	54.725019262596625	780.2501654852241	51.19156639662954	3881.6443994234346	105.98698169630028	506.92313986322836	10102.434223488244	111.25389600248035
P101-PWY	3098.8994145233232	910.464494146043	55.44641684642036	271.07777781858664	4954.706582853577	263.0132539385922	15.911644508180366	2306.665213459807	942.8595728845218	1270.2063913933841	1161.9005608854075	884.2623529649869	1498.7856424386707	185.1863376339277	4283.817205408592	1293.5588617870583	1016.3700679369241	279.613758249978	5773.822183021481	363.9249657045949	194.93188411481347	1582.4141384459292	887.5506924975008	15238.187584053658	602.8433139116222	9930.308551770497	1120.3405194911106	5910.822240665718	342.0545233406904	583.1591120558712	525.6035809502873	107.15068218682094	419.05232907862984	2352.522411463972	655.49917020611	1747.2038348798294	7393.220893111689	5201.235950283772	1089.8115162236254	484.230423882286	314.45783761575046	7000.740254981712	1778.1546732355275	1345.202678174115	3120.404383960294	53.20750906572617	2247.25831274246	600.8776409607776	997.9698587063443	51.93622925887128	41.68795084840041	1277.400756722092	29.988617344362588
P105-PWY	6883.0789568105365	4241.715453571735	1029.7997754651215	11043.484753891797	11477.478807090354	5068.172009285301	997.449342619402	12490.609998867292	10847.258930272073	7624.367884918485	5213.330653607778	9856.65265836754	4597.45104942674	10149.6695169038	8358.03289453851	9222.281560591015	5637.976645650007	1360.3090576814732	13210.650289360847	2775.9016048623507	3010.1088096990175	19320.052020419098	7796.50943797116	27789.332375881062	11126.006291157128	23529.020224077543	6528.273267026896	15512.359552790347	2401.113682507555	6279.617964701072	3648.3745283113813	2085.793328025841	7730.6994731691475	10357.455335144705	13818.091384368472	6027.155042063674	18787.3070451543	10006.831885905201	5501.332015286565	5040.710606841132	2000.4699880913922	11883.536379411269	9020.790274043466	3096.265700136667	7825.743445017578	1042.5320448742148	7736.590711231839	1441.2908310448822	9915.499032217964	2051.5668425789754	3104.137934624743	16265.743938275042	587.6820760997041
P108-PWY	4618.474768485482	3609.4334082121395	3490.2421137019332	11238.662956674021	8280.784366552381	6831.832046399495	905.4637264914701	3807.6671158578956	2199.5000440447957	8640.317431651276	3888.4943066755854	7653.795113000105	2525.2910790545807	4758.407967951403	5091.3860222536105	5227.690232430953	14284.147885517224	6677.299061583096	10369.473263712938	9270.58372973683	3113.2574585979764	20805.03594891423	6517.587427806679	22311.7302594212	13350.659113429025	21228.75076038715	4715.406410430167	15158.28810264685	3096.4417877646147	12351.978947433925	7319.0163380481035	22773.91979227159	6777.348365455331	10194.984084707932	1802.5223735459879	3541.002820930165	14323.506507930091	7877.364969777057	2706.409905891971	4801.464487765611	3215.0173887923893	8450.564294193644	5745.407651744541	4447.252675086856	5028.10827219349	2347.454949341734	7352.585951016443	1156.0221846466757	3739.0854938993616	7143.498141558896	10360.586865231171	2523.5112787089324	533.2882584454322
P122-PWY	6430.688498796802	3790.8197587867962	1771.5844871892082	6243.824282544921	8109.69896969963	5690.0916977026745	1602.1969137705019	7998.223598305998	4759.430569088385	6565.243907431627	8092.089025800921	5726.319786411488	4237.205073733809	4269.4030940659895	7267.684401894345	4928.2311620164255	8307.828959053135	5611.375410144908	16884.774840703147	7120.53375813839	4775.557043613865	7694.822982283127	6910.802682099454	19622.72463177145	8651.50101551137	18610.228593925905	7585.119116050822	9325.23281914831	4163.5711526523955	5758.428315481	7013.856193988423	9093.125178894348	9071.987915788553	7604.216265785188	2699.276186999841	4688.246377310134	14047.34652524646	9508.034827228905	5134.7277336749585	5861.442573314401	3771.057164619992	9740.11667884336	4199.878449436172	3419.5113566818095	5373.696905780379	2807.445587657165	7178.545287441496	2230.5587861963754	5188.554650574193	4693.566063332108	3883.708693032348	4219.913693338651	2399.1685227679272
P124-PWY	11845.696493659412	5641.26935577386	2624.444678381435	8210.850102886512	13574.022045692493	9694.70264810357	2501.6679138474124	10284.770787532407	5516.123618956962	8692.355327945528	12250.660610551795	7553.197304938068	7257.470652308012	5371.529248879997	10721.914469989348	6255.063042328413	13069.340545812194	9055.030093918665	23698.028506431587	10102.165646277483	7063.520627105298	9450.624837020783	9823.027954720876	32447.50843725713	11721.071055147468	23711.07155000377	10583.626548225575	14810.162152926523	6523.607472574183	7290.255003200992	13409.581020638629	12482.094964530705	14334.250466443951	10471.313178980403	3108.3260377493953	6665.544939440395	17094.30318253228	14411.821082589082	8283.66414260732	8835.138103740574	7742.027805413385	16328.311535548875	4843.682119017453	9035.283902236864	8479.702417464749	9889.989717691884	11291.25434402631	5830.250220384569	6661.730612649977	9486.092389421052	5242.699228568431	4941.23662307422	7761.5706474658855
P125-PWY	7475.4139131240945	2874.9305547695412	836.4680740563924	2294.3464640630586	6946.85569293074	1839.757147849323	654.03969898953	4923.494126098566	1771.2685925698172	2668.8886556257326	3617.3030383146693	2335.645810532017	2641.216243503708	1162.149551020506	8683.819810657447	4346.570224384004	5654.89644199045	2089.4728610526536	7074.8034451426565	1920.9697430036429	3599.179730743945	3326.8026329304953	1624.2109795106892	16097.206449423747	3144.491414006839	11766.674940532404	4244.518629178812	8220.759917058205	1539.9163147634035	1628.4816204001388	1695.8417992787693	2262.7524912571635	3893.346220845317	4910.492968898391	1470.4278031344002	2244.035339069628	9015.257225309833	5462.807333884196	2530.6479007111966	2122.6174924172506	1445.844874524276	8429.196228779747	3790.8919504868413	2063.0926687452306	7273.4087668148495	1262.807666924824	4281.081385710803	1745.2535197740185	2248.369271376002	976.4113918323394	413.91382052839117	1844.0381744217907	2641.1076699105415
P161-PWY	23031.882451182657	26731.306173372363	21219.961926867432	24022.287563233152	10792.33750804651	15823.696504385935	41123.73424365649	25641.33384452922	17226.04356730429	24392.08384821479	20545.814580346898	16263.670461449989	30539.832785123184	21620.52931249433	15754.587112063215	17912.942011793137	24125.68348666968	24160.339214372627	23320.62841050611	11512.795105872307	33774.441336221294	30531.163374536976	17626.305824762585	41103.046070110926	24528.307560882215	19504.97767721322	15288.045502796273	22128.687143674182	25349.202593669626	16758.156246192553	22820.66353960914	27884.238974041684	30233.31215964887	14655.105859480767	23868.773578612647	19948.54825149117	23349.327757063376	24414.363793468645	27203.966845876854	16139.551793053166	23384.941404348705	35958.11960199614	15067.207071040571	29379.55842512039	12655.664107423021	22519.120634506344	31483.120126008733	20533.837973089976	22535.692771376325	9351.841845226552	10060.716267020312	28464.121720420073	26611.810208141564
P162-PWY	5796.4389125829675	2887.064158977936	730.5171193796107	2743.0675098912548	2948.2845288754716	1297.9748010397057	543.042126914671	1584.612062514716	672.0318687535673	4302.497972139073	3756.501206642527	3729.629960889017	1265.5249704601613	1231.9740062986048	3600.1747395284783	6490.355975015705	8568.723532165946	912.9844658072622	3177.1247951107166	1515.2009678731577	2821.1463928454773	3609.1373477463335	1633.1122292276789	5099.698207256927	2517.5848855349523	2662.879935183018	2410.3067643024297	5881.032059105986	1426.294061112161	1732.26147080071	1019.8024785767503	4488.900926440262	2566.081094117672	1463.0105836781006	892.6308974078521	1130.8394745507353	5917.32518770248	2012.796730719261	744.5115495661594	1981.677765011576	1223.741373098881	1167.7988243260738	5464.204288403189	2737.422155571354	3495.378236882218	1632.086414554169	4048.365398772038	2250.5365399910556	2759.3289988416404	1306.0876717128058	1086.7483494152882	815.5701308370708	767.0889546278751
P163-PWY	905.4642750841282	729.3016319746428	1341.0595253860135	3337.3288325295416	795.3808493123397	1400.7802180666645	319.16984895565463	322.96978051101075	67.11479370865626	1216.6613575015676	1141.085061856263	924.9636343372463	362.6109962721102	464.63143746441233	167.16848479621888	5071.447842542135	3503.54610949922	2315.100176836496	1116.315082026183	1290.285550121669	4329.226072491368	2502.4773522328246	1245.509524183595	826.771040162883	4319.203054057769	618.9937570260065	1086.4178085164792	512.6639818976804	1265.5940941262393	754.6891244231098	1126.147731911932	1295.7846978568239	2250.3533842159386	2878.724455184396	269.51486489622255	1312.113984880983	1289.4840699461806	926.7339573288341	451.2361513425547	1604.3250000892576	862.8970411009528	385.1882363737916	3022.447154106562	813.2763308383957	412.24306644258644	790.415269992011	1325.2652176599781	316.57727732359535	409.3162209504087	1102.5436667115014	1155.4771246905595	280.42217218881007	678.0179985811662
P164-PWY	15100.283732706024	10893.649476683839	4838.936158278875	12318.276190611023	13180.851435271234	7758.280810735186	5927.024084704982	25951.96889344595	8593.85275040514	13753.717277405065	21687.108183410983	11608.86056872428	11766.65278831726	8378.782136575612	10751.228712846718	12902.383904900473	11879.01335321694	7808.16815755274	19684.857210297458	9109.147025291853	18431.93891302294	13256.184487908316	8911.098519799856	34380.322333779644	12569.908607490454	26368.221862480892	13160.736500492634	9347.973401139547	15948.936644091076	8125.092685876118	6171.07059871674	10029.283697666593	18743.33907541056	7610.459056535304	7357.3200362935795	17313.627527705885	19970.996895065604	13359.543675233886	7762.299192371194	11580.852128081457	6582.260738267502	8373.02535761022	11559.361859389024	8095.315476699504	6095.156383530951	7533.723480559001	9325.222284870628	6292.218281326885	8468.092896155269	4045.5300095346133	3769.8556036509144	9572.292267258887	9231.611029199797
P184-PWY	3248.085574187443	793.0597859505142	12.442178591727284	211.6784478634872	3479.7342525009894	67.89528941782609	0.0	1752.5665212655374	808.7849197229078	381.437614083888	864.6762415957613	597.5366383432304	1247.127017427044	117.17830520194236	4756.7566041004	1066.5934381301654	63.98005994573915	13.49099487680691	2366.6293388166905	343.9387861359739	0.30526178720277386	1187.6385383849624	14.526290134614701	5466.908124739739	294.40154296746607	4182.543906184149	1054.2373085661202	4460.7725624132345	247.78669134866632	437.6538235338737	369.73710056798024	6.630902206462015	246.68189628352647	2162.2720736413767	329.6535835747761	354.9401827332743	750.3954218531068	1070.9572010130446	784.1023742417013	296.63520510645947	271.3303581928111	2418.56312307587	1633.5589338489817	50.63212096979503	3372.9714776846167	18.079414226049884	818.9704284177919	425.2057581917868	782.6120449910709	5.2937171903140765	11.522103359641664	192.32445290143224	0.0987753990902902
P221-PWY	11789.078819334249	4331.934874922464	2584.4133740208836	7392.2558735737875	13023.297983529976	5082.152632132968	3601.810264210593	11004.487649686896	101.99893725876346	4425.10938931468	5125.301232743231	6156.097466632893	4794.287226951643	1009.9908433040623	8366.570956814037	1879.9113951740014	5369.025752470814	7531.768331609932	8224.999358091167	9689.751101792015	4463.26731139659	6324.958016494917	7270.732208497713	772.8209936361721	6473.937866603069	3234.132846462889	4268.351854179887	4913.347802774259	9096.051444725374	5279.798825482197	8159.957583219533	7232.896966779326	8385.291629873385	5461.908136491339	1843.2340196754183	2064.395835975436	794.8380278000761	4634.5073124326345	7509.411843918002	6348.839298778748	6561.916840830723	1395.3939197308396	1756.662265849111	3901.824960479875	3898.5980105395674	5898.097298151302	3486.8701957938288	4456.005104130813	2660.8175893458747	5296.438339593202	2775.7502020405777	1200.224540555249	5872.732091533349
