# Constructed from biom file
#OTU ID	ERR1331785	ERR1331786	ERR1331787	ERR1331788	ERR1331789	ERR1331790	ERR1331791	ERR1331792	ERR1331793	ERR1331794	ERR1331796	ERR1331797	ERR1331798	ERR1331799	ERR1331802	ERR1331803	ERR1331804	ERR1331805	ERR1331806	ERR1331807	ERR1331808	ERR1331809	ERR1331810	ERR1331813	ERR1331814	ERR1331819	ERR1331820	ERR1331821	ERR1331822	ERR1331823	ERR1331824	ERR1331825	ERR1331826	ERR1331827	ERR1331828	ERR1331831	ERR1331832	ERR1331834	ERR1331835	ERR1331836	ERR1331837	ERR1331838	ERR1331839	ERR1331840	ERR1331841	ERR1331844	ERR1331845	ERR1331846	ERR1331847	ERR1331848	ERR1331849	ERR1331850	ERR1331851	ERR1331854	ERR1331855	ERR1331858	ERR1331859	ERR1331860	ERR1331862	ERR1331863	ERR1331864	ERR1331865	ERR1331866	ERR1331867	ERR1331868	ERR1331869	ERR1331870	ERR1331871	ERR1331872
ARGSYNBSUB-PWY	33516.74782493493	23606.693631513965	28363.8177953643	20620.771638926097	19363.729481779952	32067.143121610876	30056.07138243796	14722.682966409744	26798.32744188437	81656.27959598407	54066.73199347409	22436.023256239187	25739.2670003025	22657.03617374936	66750.93613242272	35230.054990167475	15521.816894805279	26986.952444355727	45618.21026456458	23925.310306988722	41909.836021840005	22529.495128466897	50791.48245644527	19666.76526942157	0.0	37982.4290703981	58715.29067054764	32294.86145029047	62905.2233227884	19225.63277821216	32214.155206185842	27544.06244617114	55673.689063605365	10439.948855904431	29701.58379202232	22528.55981005969	19308.41571607298	36120.7361457613	55507.99514717554	58263.76784435623	30649.63268740509	14598.29916196246	32381.270339014118	33636.76004638798	27485.58603849005	54402.017691311434	22877.83071404974	66015.56966700942	34310.06123314707	53415.066524180525	26964.859274664006	30682.414247780576	20899.93127618957	24591.310683880325	37561.68447674839	35811.36715257231	30762.252555096606	34920.15782186305	78733.74125402202	65322.86845362247	32368.925079486457	22280.40625849161	36426.914985353396	28850.988856393415	23394.36881971604	16075.855915521755	62097.27914429563	37142.918440077425	36994.47764091829
ARO-PWY	36593.947705538216	45820.36519730404	29453.020605080856	33244.303986314815	32784.55654694115	54636.44841865451	40761.708210085184	25119.557366077595	42769.03411570822	47890.990711864986	60243.53140416305	44470.55373726216	43601.02553270915	27551.026416737175	76016.20671610336	41498.29307973006	30167.46246138511	34743.91880645661	62065.73505713689	42237.47794980261	77791.19159366061	35916.18177833126	62108.54337670781	45556.25391957441	0.0	49719.70958787339	80717.53985791703	38286.716694872885	73931.29353484376	36307.38052804717	44953.86700844358	36615.88670875381	71925.58143822846	21060.149162703343	48124.103931803584	31772.36973903153	28486.552417390012	44838.91835832753	63656.483768100385	74377.91277202377	37268.85390940437	23141.45684212743	47228.88368822396	41259.63390563916	31271.585701220403	69615.90307178802	25974.964185935612	87376.03911796158	53165.92739757228	69460.9799342783	36586.91013904697	42868.182881040346	37906.322648701826	37098.03925377403	45368.74595933298	65411.50916657568	54153.51211243842	43139.197276291656	99784.63372626991	75560.08394418684	40559.4752280966	27239.4433591166	53171.12222437193	45835.96616382513	30383.199555374547	24668.44244867256	70241.36424688577	41140.20824713847	45395.86521039166
ASPASN-PWY	45161.62190313788	59608.497695207414	22397.8579341551	38986.30873060884	44340.55284072188	63775.727286038564	42658.20292306273	28207.58942292566	44930.36570233123	29014.091392529604	41030.531908334575	51328.01421659946	55085.86677868273	21162.79670397039	47199.566949184904	25108.54713816184	34251.27969763784	33217.37605660552	58038.31573925149	52718.71115107781	87589.95863407465	31653.375675740223	48742.80597549285	65230.38689494782	0.0	44733.599727944216	79975.6731456908	25846.05898337032	46579.07255686914	46266.88821959914	42111.74075159345	28649.75296119299	66153.90707515746	27584.255287685253	45340.07996060512	31713.034101411955	32538.019711523288	30640.34153519634	56448.6502810841	73817.80121147362	31423.795253518707	24347.539912872235	54647.08257969447	33573.97785005752	22507.178854786624	59839.90856504616	19289.016714380043	80143.6109999356	56590.974457828896	55541.252207346064	41318.881557467466	38429.4093400729	44163.4559645825	40990.831589802	40185.47148859443	62791.60942386486	63312.36041361826	34622.07431158625	74728.60017672859	61331.57941787323	37588.783287456194	27465.149396913184	56079.14249040906	47199.882251525836	29115.69383601308	23539.841406145897	51142.14205333402	25798.10197313388	33986.97145544209
AST-PWY	126.8398296695517	1470.7806828730832	7051.788326012406	8687.181078356525	0.02866284501267584	70.29374199835328	93.30518198672816	42.415882168648835	239.92312664543647	55883.396789199454	364.0235074234251	39.99332478971063	532.3827070501729	548.8591575508003	124.38313001322764	7.884725311415804	1153.1445766511545	12201.255004813793	364.9188596498022	1.9375124000856834	35.149360747494555	3111.648915422946	6672.466535714788	4370.955369791195	0.0	117.43114514388333	6.513966102099015	102.81249411185544	115.74818419874875	41.97270698336499	54.906766787540846	67.03105108774795	3.7395842766094645	118.30390440530572	53.1303680377546	4.228138438037452	583.3772003180369	853.9965657856184	213.0762654249999	272.01535932941886	266.50687794462766	172.03403147728406	51.558361103402866	3644.1792678356405	294.4046354348244	6808.853675214458	230.54823717677885	164.02795153520452	1438.1437110243958	60.64649458751831	164.3141050593572	58.87157413233736	47.21779110134063	165.44444233939947	166.07431134440733	100.96084200898655	306.2350064651411	455.243222591699	324.2419774521774	126.80177656460327	10799.251835403196	4.498809418387167	1861.607669894651	4.895099324705908	244.53865852573068	0.0	591.6902705066145	0.8986966781006923	898.531116564689
BIOTIN-BIOSYNTHESIS-PWY	7114.397712466884	41438.64713600809	15495.258820553807	38405.0220111378	20303.896043318273	44541.04839663264	23142.94202312173	19231.478636652257	28306.461070039204	80215.2429772332	14623.22726304769	26509.154425280907	28201.767757723308	13075.816595288294	1892.424644240459	7250.757214151102	28244.640051858452	31324.980008884355	38602.99233037732	37614.93045352187	62857.513078864475	32671.537125617517	38930.6614377688	43145.67763740158	0.0	29767.567710634947	44911.5673108734	5055.82315499043	25597.40123747568	40783.12136556981	37813.5710094836	17194.30640154157	33102.59937544899	16139.90287515631	36159.722943007975	21422.78736029001	25147.63444988326	18486.395922183958	24858.68164726741	34239.22907942182	12682.093385168295	21011.668882720856	34600.830942868866	20865.429550379053	4908.057753122834	46374.95970423977	11120.956321022408	53696.30235845502	42120.26707379983	36260.92141156069	29480.269680263365	24935.471325526738	29245.055481959116	27168.071624499546	8263.837003908387	54294.759626899904	57814.30894934156	30852.81079761062	24466.446825861934	10149.781706613188	33715.08162671534	15057.29702868922	42844.63097063431	26470.12667292674	2051.921255312712	18912.6788474153	32089.29958629587	2483.55320531691	12743.629089357735
BRANCHED-CHAIN-AA-SYN-PWY	36266.50835864874	59044.11364096789	31524.013146691996	36388.374089895966	43336.736533142066	62110.12193908037	51673.59019714721	28573.676104262275	45187.43655392869	78970.16423897888	73013.9482049627	46395.92108916728	52398.76034157634	30022.24402415017	83498.12958283418	41073.96834076899	34710.584381208784	37902.36178041377	66926.39540404521	49793.92606650123	100340.33050888994	42404.82936906159	67666.58209210043	59828.365782803696	0.0	51898.72819683443	85877.9082367428	38786.8226930356	82971.74331454578	43588.1844032639	51511.24501130588	39511.08169923047	80488.79139070016	26399.202428551318	53361.45747065334	34307.016408032214	30961.613054041398	46683.69870657347	66156.6795157733	83854.80283785604	38107.47789009522	26818.847361089753	53282.86859824129	44105.05337134403	34590.70665922323	76239.19860512664	26910.52536995949	94343.3661761993	55873.82415957664	81497.20780369164	44382.78122691415	46600.053753919135	42685.98691096769	42440.979540073444	43383.44532990258	76370.94566956359	69846.79166940003	48386.79778366523	103379.93650008454	82904.48705682349	48402.46018698905	31710.83483769245	60947.273494570014	58153.13988247884	34696.9730642019	27375.39665125729	83944.73325699463	45379.0683990211	47209.46280465984
CALVIN-PWY	41935.28905255353	66347.63837881242	36657.50753601259	40923.35811503618	47360.158055383516	71057.08756082146	53685.88737211233	31428.222740573685	53866.09152920672	70503.16604686373	64650.14731096547	55089.486263924955	57979.40292389923	31606.62820046215	86872.00409383727	44072.73039998004	37938.252841973976	40500.88257565839	78750.23808305248	56438.153902746606	107979.16386303034	43781.5087717122	74859.10884115039	67089.59322138371	0.0	60010.464961632206	90410.54202638827	45559.63431568051	85361.99311747763	47784.76025484901	53150.01009061898	42134.988143425864	84664.60756595613	29932.4511912167	59101.67114782794	37961.73196494434	35348.33533993382	49742.60209691139	74070.88175560303	86041.79260084398	43529.91115311575	30476.307963212563	61058.26397670688	50099.06211761179	34222.39323593518	80810.42216251385	28256.482512257277	98767.9988863903	64664.56467559755	84785.6041580565	45455.848904376675	50318.35759803637	57313.80432945241	47072.33815389382	53762.83787590363	82047.50225736738	73330.78871653175	49241.61373341724	111745.9743386169	89934.80483561942	49123.60419360479	33406.678869012285	67343.06621227083	59005.22393470862	39198.666272799885	31936.42453991663	82638.68159593093	51767.59164007148	49935.1850340397
CATECHOL-ORTHO-CLEAVAGE-PWY	200.94955249039717	47.66297075762381	351.5290992252148	19.17132404220761	0.1542532749144157	3.569328690618128	14.332986472278906	0.19104623764647677	1.0236412304820732	53.24591414967402	44.4283964890049	24.909142544468008	29.09746394594909	4.547955572534046	106.64957820902997	30.58061717069627	0.07800721382671248	0.6471619595186502	26.503771436563206	0.2073564657864674	10.639119377025724	9.740026517156664	1679.4784213394876	15.307013649968221	0.0	51.07107830491948	26.180054749172164	91.94204679639421	50.18042555052863	4.604269752173462	23.81803292854302	64.75951081243629	26.49744344655776	7.175677634057438	22.14399080073914	9.890674074168123	11.763135126749122	55.56299203697513	8.475228738921201	8.724108215691167	31.708039118531094	3.1251204376213826	10.773125912841921	119.0499280325026	120.7442297804728	41.78009907419585	29.91748777833148	87.77669146804745	8.040944299279113	15.990440729810176	36.452949543792634	43.08888948928386	170.558253673592	49.80785027750451	12.577050688414023	14.637784117686031	122.37856436532442	15.25287764798773	98.7866350867365	129.3507164890477	0.6178818732838657	0.17355471031346276	19.180797380504178	71.0120456189545	14.456813477928014	6.992324728287118	600.3429149847756	49.58082746878714	89.6186505529639
CENTBENZCOA-PWY	0.0	0.0	0.0	0.0	0.268268715818646	2.195165306010969	1.0239351132210643	0.30166330836111555	0.7637624884662562	2.091288642911448	56.07379572720977	0.0	10.416263818571043	6.384784035738527	1.2999528854586346	0.0	0.19665484934467478	4.532136880836321	2.707721516342603	0.0	43.062941984309894	10.975557367384761	1.2607794403358323	0.0	0.0	12.40216450865676	13.96077783779427	192.74789531659724	18.2455334156344	0.16811839309737983	0.4679301998027301	10.276970236335877	6.502353303483987	0.7848078986961367	0.1476256166247091	4.6716047144356505	0.0	6.86907953129052	328.860717809526	4.778184998364066	7.072694340242974	1.46384387190162	0.0	134.81518501912137	25.646709771495267	140.85507132547713	57.46802657538558	84.92570707608368	0.05532617465522984	62.70338435647951	0.0	21.214250809914194	37.53914293018778	4.575820399247913	3.307502280585478	0.9573715607632695	82.43521495750002	3.225409901427416	0.21928988293243534	14.37516918842457	26.755616289562393	0.21792557441599603	3.9091011993961327	44.03791050542895	0.0	0.0	28.707423011874635	0.0	44.08613950360299
CENTFERM-PWY	2185.294734029811	7594.372007256777	1601.698964366758	4995.230095144651	1441.8102865146386	3128.7459597166103	5131.146617404704	656.4732099200829	3620.6201752951756	10352.544765541557	8066.694824876397	2869.557970153533	5235.182888022729	3961.66138843228	2375.2107021187508	1547.9004805104366	5863.9717034834175	13206.62671601742	6761.045455571545	2485.3265384457445	2247.502390288691	10875.354883569742	16672.649156766118	10040.161980520425	0.0	8221.396369059505	1745.744204220643	7312.584382619716	9286.76561459144	1379.0391612907024	5613.702316785318	8445.322941164326	4103.134502677692	1697.5911195280482	1918.1369894828551	2725.3529948549017	4864.517143206683	9347.5613217612	8829.386281689027	4472.440570890426	5017.515906121481	1597.8905797712507	2340.3401649730326	14831.07483194014	4215.933959413308	23490.951479218853	4066.08581150781	13210.15903503793	7555.918234108343	6406.097068376688	2919.2135236850554	2894.535042965196	3297.266365661849	2795.286012070589	4260.637752670897	4749.211936399965	9897.417983284542	6833.236160933986	4725.006499497216	4623.849831134503	15556.714278651774	747.1734379323002	11710.664641380768	2743.6643317941534	2031.5722414462332	878.5771090117157	14901.349966617678	4509.983080326669	10073.68359633246
