	ERR1331785	ERR1331786	ERR1331787	ERR1331788	ERR1331789	ERR1331790	ERR1331791	ERR1331792	ERR1331793	ERR1331794	ERR1331796	ERR1331797	ERR1331798	ERR1331799	ERR1331802	ERR1331803	ERR1331804	ERR1331805	ERR1331806	ERR1331807	ERR1331808	ERR1331809	ERR1331810	ERR1331813	ERR1331819	ERR1331820	ERR1331821	ERR1331822	ERR1331823	ERR1331824	ERR1331825	ERR1331826	ERR1331827	ERR1331828	ERR1331831	ERR1331832	ERR1331834	ERR1331835	ERR1331836	ERR1331837	ERR1331838	ERR1331839	ERR1331840	ERR1331841	ERR1331844	ERR1331845	ERR1331846	ERR1331847	ERR1331848	ERR1331849	ERR1331850	ERR1331851	ERR1331854	ERR1331855	ERR1331858	ERR1331859	ERR1331860	ERR1331862	ERR1331863	ERR1331864	ERR1331865	ERR1331866	ERR1331867	ERR1331868	ERR1331869	ERR1331870	ERR1331871	ERR1331872
ERR1331858	0.9022	0.7048	0.9816	0.8093	0.8538	0.8242	0.7639	0.604	0.7786	0.8332	0.7762	0.7042	0.6492	0.741	0.9021	0.8428	0.7456	0.8468	0.7805	0.6053	0.7364	0.6991	0.8373	0.9637	0.71	0.6892	0.8509	0.7645	0.6412	0.8095	0.7362	0.7355	0.625	0.5881	0.7155	0.814	0.7584	0.8677	0.6299	0.9257	0.6319	0.8484	0.8429	0.8926	0.7903	0.8222	0.711	0.6868	0.7102	0.7743	0.7571	0.8276	0.7892	0.8813	0.0	0.5212	0.738	0.769	0.8287	0.807	0.6765	0.6943	0.6734	0.993	0.8016	0.669	0.8644	0.8345
ERR1331859	0.8994	0.6799	0.9671	0.8207	0.843	0.8919	0.7728	0.7253	0.9093	0.8807	0.8764	0.7665	0.6575	0.7521	0.9481	0.9031	0.7561	0.8447	0.8287	0.5696	0.8042	0.6577	0.8555	0.9345	0.785	0.7475	0.932	0.8449	0.7205	0.857	0.856	0.8232	0.6645	0.6788	0.7896	0.8391	0.8233	0.9157	0.7405	0.8971	0.7718	0.8921	0.8551	0.9131	0.7714	0.829	0.6812	0.7569	0.7588	0.7785	0.8306	0.8179	0.8056	0.9434	0.5212	0.0	0.8553	0.9008	0.8525	0.7797	0.7388	0.7036	0.7789	0.9762	0.9015	0.678	0.9248	0.8412
ERR1331860	0.9202	0.9247	0.967	0.9189	0.7902	0.8597	0.8355	0.7457	0.7199	0.844	0.7782	0.7631	0.7597	0.7741	0.9338	0.919	0.87	0.7884	0.7695	0.8277	0.7406	0.7616	0.8135	0.8523	0.7334	0.825	0.8747	0.7382	0.7203	0.7209	0.7484	0.7846	0.8212	0.6997	0.7283	0.9066	0.6968	0.7902	0.7774	0.8367	0.7521	0.9069	0.7191	0.8666	0.5979	0.771	0.7631	0.7586	0.7744	0.8571	0.8098	0.827	0.7862	0.8046	0.738	0.8553	0.0	0.8274	0.8575	0.8286	0.7995	0.7124	0.663	0.9925	0.8548	0.73	0.911	0.7969
ERR1331862	0.7669	0.9084	0.9627	0.9326	0.9092	0.8701	0.8771	0.6966	0.6673	0.92	0.6355	0.7534	0.827	0.7573	0.7229	0.6797	0.8814	0.8706	0.7661	0.7924	0.8314	0.8759	0.7702	0.9461	0.7245	0.6757	0.6528	0.7394	0.7633	0.8096	0.6173	0.5954	0.8319	0.7473	0.8076	0.8281	0.7397	0.8445	0.6998	0.8854	0.6912	0.8542	0.7249	0.7579	0.8156	0.7802	0.8542	0.6232	0.739	0.7866	0.7555	0.8913	0.731	0.7711	0.769	0.9008	0.8274	0.0	0.7416	0.8376	0.7551	0.8616	0.74	0.9885	0.7937	0.8418	0.6666	0.7656
ERR1331863	0.846	0.9107	0.9762	0.9468	0.8163	0.8582	0.8922	0.7697	0.7555	0.922	0.7151	0.7263	0.825	0.8003	0.7835	0.8409	0.8758	0.8988	0.7179	0.865	0.818	0.8637	0.8191	0.9522	0.7843	0.8224	0.7476	0.7849	0.8534	0.7977	0.725	0.7418	0.8573	0.738	0.8426	0.8825	0.7984	0.8568	0.6434	0.8338	0.7458	0.8754	0.7847	0.7753	0.8033	0.7933	0.8769	0.7097	0.8312	0.8012	0.8084	0.839	0.7548	0.8258	0.8287	0.8525	0.8575	0.7416	0.0	0.8223	0.7728	0.8611	0.7978	0.9826	0.8245	0.8866	0.801	0.8433
ERR1331864	0.8997	0.8109	0.8984	0.5167	0.7789	0.8127	0.8499	0.7046	0.8629	0.8438	0.7947	0.7636	0.8064	0.8022	0.9149	0.9273	0.7784	0.4201	0.81	0.7325	0.747	0.6355	0.8208	0.7789	0.8089	0.8195	0.8917	0.7137	0.7491	0.7599	0.8083	0.8378	0.7806	0.7202	0.7341	0.762	0.766	0.9052	0.7357	0.9051	0.8211	0.9045	0.6308	0.8403	0.5753	0.8059	0.8353	0.6702	0.819	0.8003	0.7228	0.7877	0.8147	0.9097	0.807	0.7797	0.8286	0.8376	0.8223	0.0	0.8299	0.7449	0.7235	0.9944	0.8075	0.8409	0.9334	0.7901
ERR1331865	0.8369	0.7628	0.9802	0.819	0.836	0.8231	0.5187	0.6436	0.7064	0.8918	0.737	0.8082	0.5786	0.6766	0.8482	0.8035	0.7397	0.8346	0.7562	0.7174	0.8302	0.8535	0.7791	0.8354	0.7859	0.6877	0.8259	0.7582	0.6302	0.7292	0.6013	0.4808	0.6685	0.6074	0.8104	0.8647	0.7957	0.8388	0.6053	0.8772	0.6096	0.619	0.7471	0.833	0.7795	0.793	0.8	0.7388	0.6999	0.6308	0.5933	0.8692	0.7147	0.8327	0.6765	0.7388	0.7995	0.7551	0.7728	0.8299	0.0	0.7343	0.6577	0.9937	0.7056	0.8574	0.8125	0.8332
ERR1331866	0.8937	0.766	0.8513	0.7575	0.8175	0.8577	0.6233	0.6399	0.8312	0.8247	0.7879	0.7755	0.6418	0.6871	0.9379	0.9266	0.7268	0.743	0.7765	0.7076	0.715	0.7252	0.7903	0.8811	0.7337	0.6858	0.8331	0.7698	0.7232	0.8098	0.639	0.7363	0.7519	0.7046	0.6856	0.8118	0.7198	0.8715	0.6626	0.8511	0.7579	0.7652	0.7764	0.8814	0.7147	0.6781	0.7908	0.6741	0.6986	0.6652	0.6925	0.7656	0.6648	0.9013	0.6943	0.7036	0.7124	0.8616	0.8611	0.7449	0.7343	0.0	0.5926	0.9875	0.8825	0.6858	0.9418	0.7518
ERR1331867	0.8473	0.8296	0.9788	0.8614	0.5646	0.7334	0.5959	0.5701	0.6778	0.8232	0.6748	0.6411	0.5807	0.7219	0.8937	0.8958	0.7436	0.7429	0.7048	0.7358	0.531	0.7224	0.8305	0.7926	0.7408	0.7463	0.8222	0.6123	0.6596	0.7301	0.5535	0.6287	0.7858	0.6141	0.7322	0.8675	0.7185	0.8967	0.6556	0.8864	0.7464	0.7893	0.7381	0.8162	0.7067	0.7825	0.8162	0.6935	0.767	0.6726	0.6472	0.7626	0.7241	0.8769	0.6734	0.7789	0.663	0.74	0.7978	0.7235	0.6577	0.5926	0.0	0.9951	0.8514	0.8245	0.873	0.75
ERR1331868	0.9727	0.8778	0.982	0.9692	0.9801	0.9689	0.9875	0.9959	0.9669	0.9943	0.9947	0.9943	0.9756	0.9921	0.9518	0.9696	0.9	0.997	0.9952	0.9901	0.9956	0.9938	0.9799	0.9405	0.9796	0.9868	0.997	0.9937	0.9958	0.9814	0.9925	0.9859	0.9601	0.9937	0.9855	0.9672	0.9906	0.9949	0.9912	0.9951	0.9871	0.9864	0.9944	0.996	0.9951	0.9857	0.9895	0.989	0.9935	0.8284	0.9924	0.9785	0.9871	0.9955	0.993	0.9762	0.9925	0.9885	0.9826	0.9944	0.9937	0.9875	0.9951	0.0	0.9584	0.9911	0.9776	0.9645
ERR1331869	0.8313	0.7293	0.971	0.7306	0.8473	0.5901	0.8437	0.7267	0.6371	0.8846	0.8514	0.8092	0.808	0.8726	0.8469	0.8484	0.7204	0.9197	0.8572	0.7709	0.8746	0.8974	0.8326	0.7866	0.8263	0.8284	0.8715	0.7738	0.5708	0.5731	0.8702	0.762	0.6618	0.6298	0.7809	0.6496	0.8731	0.8734	0.7715	0.9084	0.6845	0.7782	0.8378	0.8964	0.8596	0.8489	0.912	0.665	0.8904	0.7801	0.7405	0.7731	0.7472	0.8785	0.8016	0.9015	0.8548	0.7937	0.8245	0.8075	0.7056	0.8825	0.8514	0.9584	0.0	0.8891	0.787	0.9197
ERR1331870	0.9231	0.8859	0.9884	0.9067	0.862	0.8872	0.8618	0.7691	0.848	0.8598	0.8224	0.8276	0.8208	0.8543	0.9362	0.9483	0.8111	0.8592	0.8206	0.8397	0.8255	0.6119	0.841	0.9525	0.7359	0.8354	0.9013	0.806	0.8252	0.8176	0.859	0.8572	0.8351	0.6458	0.7415	0.8965	0.8182	0.8647	0.8188	0.8892	0.857	0.9011	0.8183	0.8953	0.7958	0.7426	0.6835	0.7789	0.7961	0.8413	0.8214	0.8408	0.8601	0.8591	0.669	0.678	0.73	0.8418	0.8866	0.8409	0.8574	0.6858	0.8245	0.9911	0.8891	0.0	0.9291	0.8356
ERR1331871	0.7681	0.9002	0.9326	0.9694	0.8928	0.8352	0.8647	0.8252	0.8187	0.9685	0.8254	0.8759	0.8693	0.8317	0.7062	0.6968	0.9254	0.9467	0.8981	0.8859	0.9514	0.9259	0.8087	0.9311	0.8889	0.8461	0.7955	0.835	0.8798	0.8975	0.8547	0.742	0.9394	0.8213	0.9238	0.733	0.8466	0.9041	0.8381	0.9091	0.7589	0.813	0.8075	0.8677	0.9094	0.8733	0.9452	0.8195	0.9152	0.8679	0.8803	0.9161	0.7674	0.8481	0.8644	0.9248	0.911	0.6666	0.801	0.9334	0.8125	0.9418	0.873	0.9776	0.787	0.9291	0.0	0.8777
ERR1331872	0.8658	0.8874	0.919	0.8668	0.8998	0.9208	0.8874	0.7802	0.8571	0.8926	0.757	0.8516	0.7869	0.6655	0.865	0.8704	0.9034	0.8256	0.8168	0.83	0.8283	0.8261	0.7537	0.9175	0.7858	0.8409	0.8099	0.7509	0.8182	0.8883	0.7671	0.7576	0.848	0.8366	0.8444	0.8848	0.6856	0.8545	0.7787	0.8227	0.7791	0.9308	0.7182	0.7876	0.7418	0.7536	0.8145	0.7989	0.812	0.8438	0.8005	0.8956	0.8534	0.8175	0.8345	0.8412	0.7969	0.7656	0.8433	0.7901	0.8332	0.7518	0.75	0.9645	0.9197	0.8356	0.8777	0.0
