# Constructed from biom file
#OTU ID	SRR13247365	SRR13247365C	SRR13247372	SRR13247372C	SRR13247410	SRR13247410C	SRR13247414	SRR13247414C	SRR13247420	SRR13247420C	SRR13247432	SRR13247432C	SRR13247439	SRR13247439C	SRR13247459	SRR13247459C	SRR13247464	SRR13247464C
PWY-6519	18393.148613666734	18393.148613666734	15219.853023793437	15219.853023793437	21726.157208581506	21726.157208581506	8079.989421925266	8079.989421925266	12758.263436001374	12758.263436001374	11032.09491277367	11032.09491277367	8912.114630523962	8912.114630523962	5051.720699063688	5051.720699063688	8348.778889734303	8348.778889734303
PWY-6545	20015.443399531705	20015.443399531705	18092.245234238646	18092.245234238646	13463.160728779043	13463.160728779043	23077.490725686413	23077.490725686413	24072.85886864628	24072.85886864628	15128.928785587292	15128.928785587292	17614.552035181092	17614.552035181092	11443.343127794791	11443.343127794791	13168.805376084047	13168.805376084047
PWY-6562	5221.080980747237	5221.080980747237	370.61884909173955	370.61884909173955	1970.7918331688302	1970.7918331688302	6469.413664048327	6469.413664048327	2589.8455340276946	2589.8455340276946	553.4498290179408	553.4498290179408	1549.6423443409633	1549.6423443409633	2017.8869263623321	2017.8869263623321	597.0987922462648	597.0987922462648
PWY-6572	5085.160349469686	5085.160349469686	10744.343113372368	10744.343113372368	16625.72215525837	16625.72215525837	4674.292992786058	4674.292992786058	6317.912571436503	6317.912571436503	1419.2276550902334	1419.2276550902334	3562.339914119264	3562.339914119264	3205.7127892631333	3205.7127892631333	2176.1765350629234	2176.1765350629234
PWY-6581	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.407114757089293e-05	4.407114757089293e-05	0.0	0.0	0.017778901376804313	0.017778901376804313	0.0	0.0	0.0	0.0
PWY-6588	34046.910364827694	34046.910364827694	27499.834599872185	27499.834599872185	13339.918139037503	13339.918139037503	17076.356487855275	17076.356487855275	33439.649935889654	33439.649935889654	8002.387630146163	8002.387630146163	20832.888268252587	20832.888268252587	10758.930694775563	10758.930694775563	19570.061316815478	19570.061316815478
PWY-6590	15910.912532140186	15910.912532140186	12532.119177819774	12532.119177819774	2520.5865783836925	2520.5865783836925	3595.1014223267553	3595.1014223267553	16146.134298338215	16146.134298338215	3857.383394811405	3857.383394811405	4765.928631655039	4765.928631655039	4715.931490706597	4715.931490706597	6289.900177385052	6289.900177385052
PWY-6608	36711.2408292712	36711.2408292712	38682.31184293034	38682.31184293034	39433.36365114721	39433.36365114721	30309.719482932862	30309.719482932862	35459.98452370872	35459.98452370872	17385.7352818214	17385.7352818214	36923.2267758611	36923.2267758611	35595.10609577177	35595.10609577177	29166.72492830284	29166.72492830284
PWY-6609	70017.27523089104	70017.27523089104	67353.52130958361	67353.52130958361	74956.7265129564	74956.7265129564	66739.58004423897	66739.58004423897	61129.300312698804	61129.300312698804	42297.742264247936	42297.742264247936	83687.08055601703	83687.08055601703	77959.16321458408	77959.16321458408	61170.29075220777	61170.29075220777
PWY-6612	22401.2094708117	22401.2094708117	25134.958023296465	25134.958023296465	21100.205072851102	21100.205072851102	19666.445737605754	19666.445737605754	28891.770615808266	28891.770615808266	22360.294673358134	22360.294673358134	19329.651650278716	19329.651650278716	17979.397412286853	17979.397412286853	17996.494748267094	17996.494748267094
PWY-6628	13855.111790903862	13855.111790903862	20699.862273842144	20699.862273842144	11383.630925597501	11383.630925597501	23640.134034780094	23640.134034780094	27552.623655170693	27552.623655170693	15008.465678674933	15008.465678674933	24466.98214011917	24466.98214011917	22601.4017562301	22601.4017562301	19984.23986176755	19984.23986176755
PWY-6629	822.4709699870746	822.4709699870746	469.79216688536684	469.79216688536684	2306.263424822379	2306.263424822379	747.5999891954905	747.5999891954905	3637.4387660983384	3637.4387660983384	470.02706761851135	470.02706761851135	119.71266553235745	119.71266553235745	0.0	0.0	726.6834609150654	726.6834609150654
PWY-6630	13788.16301962922	13788.16301962922	20522.103341363792	20522.103341363792	11331.350339509034	11331.350339509034	23386.55654612823	23386.55654612823	27326.926119001004	27326.926119001004	14627.97368278621	14627.97368278621	24182.023013775226	24182.023013775226	22422.537967683063	22422.537967683063	19730.274668004207	19730.274668004207
